countryname,cityname,citycode,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Singapore,Singapore,Singapore,fixed,-0.04,-0.04,0.05,-0.04,-0.01,-0.06,0,-0.11,0.05
Spain,A_Coruna,acrn.spa9014,fixed,0.16,0.16,0.02,0.15,0.16,0.15,0.17,0.13,0.2
United States,Augusta,agst.usa7306,fixed,0.11,0.12,0.1,0.08,0.12,0.04,0.16,-0.03,0.28
United States,Akron,akrn.usa7306,fixed,0.05,0.05,0.04,0.04,0.06,0.03,0.08,-0.01,0.11
Spain,Albacete,albc.spa9014,fixed,0.18,0.18,0.02,0.17,0.18,0.16,0.19,0.14,0.21
United States,Albany,albn.usa7306,fixed,0.03,0.03,0.02,0.02,0.03,0.01,0.04,-0.01,0.07
United States,Albuquerque,albq.usa7306,fixed,0.13,0.13,0.04,0.12,0.14,0.1,0.16,0.06,0.2
Spain,Alicante,alcn.spa9014,fixed,0.18,0.18,0.02,0.17,0.18,0.16,0.19,0.14,0.21
United States,Allentown,alln.usa7306,fixed,0.16,0.17,0.03,0.16,0.17,0.15,0.18,0.12,0.21
Spain,Almeria,almr.spa9014,fixed,0.05,0.05,0.02,0.05,0.06,0.04,0.06,0.02,0.08
United States,Anchorage,anch.usa7306,fixed,0.05,0.05,0.06,0.03,0.05,0.01,0.09,-0.05,0.14
Italy,Ancona,ancn.ita0615,fixed,0.11,0.11,0.03,0.1,0.11,0.09,0.12,0.06,0.15
United States,Anaheim,anhm.usa7306,fixed,0.13,0.13,0.02,0.12,0.13,0.12,0.14,0.1,0.17
United States,Ann Arbor,anna.usa7306,fixed,0.09,0.09,0.03,0.09,0.11,0.07,0.11,0.05,0.14
United States,Annandale,annn.usa7306,fixed,0.09,0.1,0.03,0.08,0.09,0.07,0.11,0.04,0.14
United States,Austin,astn.usa7306,fixed,0.12,0.12,0.03,0.11,0.12,0.09,0.14,0.06,0.17
United States,Atlantic City,atlc.usa7306,fixed,0.14,0.15,0.06,0.13,0.15,0.1,0.18,0.05,0.24
United States,Atlanta,atln.usa7306,fixed,0.17,0.17,0.02,0.16,0.17,0.15,0.18,0.13,0.2
United States,Aztec,atzc.usa7306,fixed,0.02,0.02,0.12,0,0.05,-0.04,0.11,-0.19,0.2
Spain,Avila,avil.spa9014,fixed,0.1,0.11,0.02,0.1,0.11,0.09,0.12,0.07,0.14
Italy,Bari,bari.ita8710,fixed,0.12,0.12,0.07,0.12,0.15,0.06,0.15,0,0.24
Switzerland,Basel-Stadt,basl.sui9513,fixed,0.11,0.11,0.02,0.11,0.11,0.1,0.12,0.08,0.14
United States,bath,bath.usa7306,fixed,0.04,0.04,0.11,0.02,0.07,-0.02,0.12,-0.12,0.23
United Kingdom,Bedford,bdfr.uk9016,fixed,0.09,0.09,0.04,0.08,0.1,0.06,0.11,0.02,0.15
Spain,Badajoz,bdjz.spa9014,fixed,0.06,0.06,0.02,0.05,0.06,0.04,0.07,0.03,0.09
Brazil,Belém,belm.bra9711,fixed,0.13,0.13,0.02,0.12,0.13,0.11,0.14,0.09,0.17
Switzerland,Bern,bern.sui9513,fixed,0.15,0.15,0.02,0.14,0.15,0.14,0.17,0.12,0.19
United States,Buffalo,bffl.usa7306,fixed,0.13,0.13,0.02,0.11,0.12,0.11,0.14,0.09,0.16
Spain,Bizkaia,bilb.spa9014,fixed,0.2,0.2,0.02,0.19,0.2,0.19,0.21,0.17,0.24
China,Beijing,bjng.chi9615,fixed,0.05,0.05,0.02,0.05,0.06,0.04,0.06,0.02,0.08
United States,Bakersfield,bkrs.usa7306,fixed,0.12,0.13,0.04,0.11,0.13,0.1,0.16,0.06,0.19
United Kingdom,Blackburn with Darwen,blckb.uk9016,fixed,0.11,0.11,0.05,0.08,0.11,0.08,0.14,0.03,0.2
United States,boulder,bldr.usa7306,fixed,0.09,0.09,0.03,0.08,0.09,0.07,0.1,0.05,0.13
Italy,Bologna,blgn.ita0110,fixed,0.14,0.15,0.02,0.13,0.15,0.13,0.16,0.11,0.19
Brazil,Belo Horizonte,blhr.bra9711,fixed,0.02,0.02,0.03,0.01,0.03,0,0.04,-0.02,0.07
United States,Baltimore,bltm.usa7306,fixed,0.15,0.15,0.02,0.14,0.15,0.13,0.16,0.12,0.18
United States,Boise City,bois.usa7306,fixed,0.11,0.11,0.06,0.09,0.11,0.07,0.14,0.02,0.2
United Kingdom,Brighton and Hove,brah.uk9016,fixed,0.09,0.09,0.02,0.09,0.1,0.08,0.11,0.06,0.13
Spain,Barcelona,brcl.spa9014,fixed,0.12,0.12,0.03,0.12,0.13,0.1,0.14,0.08,0.17
United Kingdom,Barnsley,brdv.uk9016,fixed,0.07,0.07,0.03,0.06,0.08,0.05,0.09,0.03,0.12
France,gironde,brdx.fra0014,fixed,0.16,0.16,0.05,0.15,0.17,0.13,0.19,0.09,0.23
United States,Paterson,brgn.usa7306,fixed,0.18,0.19,0.03,0.17,0.19,0.16,0.2,0.14,0.23
Spain,Burgos,brgs.spa9014,fixed,0.15,0.15,0.02,0.14,0.15,0.14,0.16,0.12,0.18
Germany,Berlin,brln.ger9315,fixed,0.15,0.15,0.02,0.14,0.15,0.13,0.16,0.11,0.18
United States,Burlington,brln.usa7306,fixed,0.11,0.11,0.04,0.1,0.12,0.08,0.13,0.05,0.17
Germany,Bremen,brmn.ger9315,fixed,0.12,0.12,0.02,0.11,0.13,0.1,0.13,0.08,0.16
United States,Birmingham,brmn.usa7306,fixed,0.08,0.08,0.02,0.07,0.09,0.06,0.09,0.04,0.11
Italy,Brindisi,brnd.ita0110,fixed,0.07,0.07,0.11,0.04,0.09,0.01,0.14,-0.1,0.24
United States,Barnstable,brns.usa7306,fixed,0.07,0.08,0.03,0.06,0.07,0.05,0.09,0.02,0.13
Australia,Brisbane,brsb.aus8809,fixed,0.05,0.06,0.02,0.04,0.05,0.04,0.07,0.02,0.09
Italy,Brescia,brsc.ita8710,fixed,0.17,0.17,0.03,0.17,0.18,0.15,0.19,0.12,0.22
Brazil,Brasília,brsl.bra9711,fixed,0.05,0.05,0.02,0.04,0.05,0.04,0.06,0.02,0.09
United Kingdom,"Bristol, City of",brst.uk9016,fixed,0.09,0.09,0.02,0.08,0.09,0.08,0.1,0.06,0.13
United Kingdom,Basildon,bsld.uk9016,fixed,0.1,0.1,0.04,0.08,0.1,0.07,0.12,0.04,0.16
United Kingdom,Basingstoke and Deane,bsng.uk9016,fixed,0.14,0.14,0.03,0.13,0.14,0.12,0.16,0.1,0.19
United States,Boston,bstn.usa7306,fixed,0.2,0.2,0.03,0.2,0.21,0.18,0.22,0.16,0.25
United States,Baton Rouge,btnr.usa7306,fixed,0.17,0.17,0.03,0.15,0.17,0.14,0.18,0.11,0.22
South Korea,busan,busn.kor9718,fixed,-0.09,-0.1,0.11,-0.12,-0.06,-0.17,-0.02,-0.29,0.07
Spain,Cadiz,cadz.spa9014,fixed,0.13,0.13,0.02,0.12,0.13,0.11,0.14,0.09,0.17
Italy,Catania,catn.ita0615,fixed,0.11,0.11,0.07,0.08,0.11,0.06,0.15,0.01,0.22
Spain,Caceres,ccrs.spa9014,fixed,0.17,0.17,0.02,0.16,0.17,0.15,0.18,0.14,0.2
Spain,Ciudad_Real,cddr.spa9014,fixed,0.17,0.17,0.02,0.16,0.18,0.15,0.18,0.14,0.2
United States,Cedar Rapids,cdrr.usa7306,fixed,0.1,0.1,0.07,0.09,0.12,0.06,0.14,-0.01,0.21
Spain,Ceuta,ceut.spa9014,fixed,0.03,0.03,0.02,0.02,0.04,0.02,0.05,-0.01,0.07
Italy,Cagliari,cglr.ita0110,fixed,0.11,0.11,0.07,0.09,0.13,0.06,0.15,0,0.22
United States,Chicago,chcg.usa7306,fixed,0.16,0.16,0.04,0.16,0.17,0.13,0.18,0.1,0.23
Japan,Chiba,chib.jap1115,fixed,0.24,0.24,0.03,0.22,0.24,0.21,0.26,0.19,0.3
Chile,Ñuble,chll.chl0414,fixed,0.11,0.11,0.02,0.1,0.11,0.09,0.12,0.07,0.15
